ID,Name,SKU,Optional Offer Type,Categories,Description,Short description,Shipping class,Price,Shipping Price,Shipping counts for each unit (Yes/No),Published,Additional Unit Price,Additional Unit Shipping Price,Bonus Shipping Price,Max Quantity Per Order,Continuity,Not Show To Customer
159,ChamberPillowKingFRM,CPKFMAIN,,King - Firm,Chamber Pillow King Size - Firm 50% White Duck Feather & 50% White Duck Down,King - Firm - $109.95,Pillow,$109.95,$9.95,yes,1,,,,10,,
160,PillowProtectorQueen,PPQMAIN,,Standard/Queen,Pillow Protector with Zipper Standard/Queen Size 300t/c 100% Cotton ( set of 2),Standard/Queen - $24.95,Protector,$24.95,$9.95,yes,1,,,,10,,
161,PillowProtectorKing,PPKMAIN,,King,Pillow Protector with Zipper King Size 300t/c 100% Cotton ( set of 2),King - $34.95,Protector,$34.95,$9.95,yes,1,,,,10,,
162,PillowCaseQueen,PCQMAIN,,Standard/Queen,Pillow Case with Zipper Standard/Queen Leopard Print 100% Plush Polyester,Standard/Queen - $24.95,Case,$24.95,$9.95,yes,1,,,,10,,
163,ThrowPillowStandard,TPSMAIN,,"Standard/20"" x 26""",Throw Pillow Size Standard Leopard Print 100% Plush Polyester,"Standard/20"" x 26"" - $29.95",Pillow,$29.95,$9.95,yes,1,,,,10,,
164,ThrowPillowQueen,TPQMAIN,,"Queen/20"" x 30""",Throw Pillow Size Queen Leopard Print 100% Plush Polyester,"Queen/20"" x 30"" - $34.95",Pillow,$34.95,$9.95,yes,1,,,,10,,
165,ThrowPillowKing,TPKMAIN,,"King/20"" x 36""",Throw Pillow Size King Leopard Print 100% Plush Polyester,"King/20"" x 36"" - $39.95",Pillow,$39.95,$9.95,yes,1,,,,10,,
166,ChamberPillowQueenMDDISC,CPQMMAIN,,Standard/Queen - Medium,Chamber Pillow Standard/Queen Size - Medium 50% White Duck Feather & 50% White Duck Down - 50% OFF,Standard/Queen - Medium - $44.97,Pillow,$44.97,$9.95,yes,0,,,,10,,
167,ChamberPillowKingMDDISC,CPKMMAIN,,King - Medium,Chamber Pillow King Size - Medium 50% White Duck Feather & 50% White Duck Down - 50% OFF,King - Medium - $54.97,Pillow,$54.97,$9.95,yes,0,,,,10,,
168,ChamberPillowQueenFRMDISC,CPQFMMAIN,,Standard/Queen - Firm,Chamber Pillow Standard/Queen Size - Firm 50% White Duck Feather & 50% White Duck Down - 50% OFF,Standard/Queen - Firm - $44.97,Pillow,$44.97,$9.95,yes,0,,,,10,,
169,ChamberPillowKingFRMDISC,CPQFMAIN,,King - Firm,Chamber Pillow King Size - Firm 50% White Duck Feather & 50% White Duck Down - 50% OFF,King - Firm - $54.97,Pillow,$54.97,$9.95,yes,0,,,,10,,
170,PillowProtectorQueenDISC,PPQMAIN,,Standard/Queen,Pillow Protector with Zipper Standard/Queen Size 300t/c 100% Cotton ( set of 2) - 50% OFF,Standard/Queen - $12.47,Protector,$12.47,$9.95,yes,0,,,,10,,
171,PillowProtectorKingDISC,PPKMAIN,,King,Pillow Protector with Zipper King Size 300t/c 100% Cotton ( set of 2) - 50% OFF,King - $17.47,Protector,$17.47,$9.95,yes,0,,,,10,,
172,PillowCaseQueenDISC,PCQMAIN,,Standard/Queen,Pillow Case with Zipper Standard/Queen Leopard Print 100% Plush Polyester - 50% OFF,Standard/Queen - $12.47,Case,$12.47,$9.95,yes,0,,,,10,,
173,ThrowPillowStandardDISC,TPSMAIN,,"Standard/20"" x 26""",Throw Pillow Size Standard Leopard Print 100% Plush Polyester - 50% OFF,"Standard/20"" x 26"" - $14.97",Pillow,$14.97,$9.95,yes,0,,,,10,,
174,ThrowPillowQueenDISC,TPQMAIN,,"Queen/20"" x 30""",Throw Pillow Size Queen Leopard Print 100% Plush Polyester - 50% OFF,"Queen/20"" x 30"" - $17.47",Pillow,$17.47,$9.95,yes,0,,,,10,,
